student,take_exam,social,gender,pretest,posttest,Fi,CBi,Vi,MApi,PApi,total_time,total_activity,total_time_be,total_activity_be,qp_time,wa_time,qp_activity,wa_activity,exam_norm,lgain_pp,lgain_pe
user0089,0,0, ,,, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
user0064,1,0, ,,0.82, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,,0.0
user0091,1,1, ,,, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,,0.0
user0078,1,0, ,,1.0, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,,0.0
user0006,1,0,1,0.09,,0.58,0.05,0.8,0.67,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,,
user0013,0,0,1,0.09,,0.33,0.55,0.53,0.67,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0069,0,0,1,0.27,,0.67,0.5,0.8,0.56,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0074,0,0,1,0.18,,0.25,0.6,0.6,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0080,0,0,0,0.18,,0.33,0.25,0.6,0.39,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0038,1,0,1,0.09,0.18,0.33,0.3,0.53,0.5,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.09,100.0
user0040,1,0,0,0.27,0.91,0.42,0.1,0.27,0.44,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.64,237.037037037037
user0046,1,0,0,0.09,0.82,0.5,0.45,0.6,0.5,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.73,811.1111111111111
user0047,1,0,1,0.09,0.73,0.5,0.3,0.53,0.33,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.64,711.1111111111112
user0048,1,0,1,0.09,0.09,0.33,0.35,0.73,0.56,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0
user0054,1,0,0,0.36,0.27,0.58,0.6,0.6,0.61,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,-0.08999999999999997,-24.999999999999993
user0071,1,0,1,0.0,0.27,0,0.25,0.33,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.27,0.0
user0072,1,0,0,0.18,0.64,0.25,0.35,0.6,0.61,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.46,255.55555555555557
user0086,1,0,1,0.27,0.91,0.67,0.65,0.93,0.72,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.64,237.037037037037
user0028,1,0,1,0.27,,0.58,0.5,1,0.72,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,,
user0057,1,0,1,0.64,0.73,0.67,0.8,0.8,0.72,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.08999999999999997,14.062499999999995
user0058,1,0,1,0.18,0.09,0.58,0.55,0.53,0.72,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,-0.09,-50.0
user0061,1,0,1,0.09,0.09,0.33,0,0.6,0.56,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0
user0016,1,0,1,0.18,,1,0.9,0.93,0.89,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,,
user0066,1,0,1,0.18,0.09,0.58,0.4,0.73,0.78,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,-0.09,-50.0
user0073,1,0,1,0.09,0.09,0.58,0.3,0.67,0.78,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0
user0081,1,0,1,0.18,0.91,0.5,0.75,0.93,0.83,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.73,405.55555555555554
user0018,1,0,1,0.09,0.27,0.5,0.35,0.87,0.78,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.18000000000000002,200.00000000000006
user0031,0,0,1,0.36,,0.58,0.25,0.67,0.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
user0063,1,0,1,0.27,,0.42,0.65,0.67,0.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,,
user0033,1,0,0,0.0,0.09,0.67,0.4,0.87,0.61,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.09,0.0
user0044,1,0,0,0.09,0.0,0.58,0.45,0.67,0.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,-0.09,-100.0
user0007,1,0,1,0.09,1.0,0.58,0.15,0.67,0.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.91,1011.1111111111112
user0012,1,0,1,0.18,0.36,0.42,0.3,0.4,0.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.18,100.0
user0068,1,0,1,0.27,0.82,0.67,0.6,0.93,0.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.5499999999999999,203.70370370370367
user0083,1,0,1,0.09,0.82,0.5,0.65,0.8,0.61,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.73,811.1111111111111
user0015,1,0,1,0.27,,0.58,0.85,0.73,0.78,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,,
user0021,1,0,1,0.18,,0.67,0.65,1,0.94,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,,
user0041,1,0,1,0.09,,0.83,0.9,1,0.83,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,,
user0076,1,0,1,0.45,0.82,0.5,0.75,0.67,0.83,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.36999999999999994,82.22222222222221
user0023,1,0,0,0.36,0.55,0.67,0.7,0.93,0.78,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.19000000000000006,52.7777777777778
user0039,1,0,1,0.64,0.18,0.5,0.7,0.73,0.94,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,-0.46,-71.875
user0075,1,0,1,0.55,0.64,0.75,0.6,1,0.94,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.08999999999999997,16.36363636363636
user0088,1,0, ,,0.73, , , , , ,7192269966.0,1040.0,10004.0,1040.0,387504377.0,6804765589.0,2744.0,7260.0,68.0,,0.0
user0005,1,0,1,0.64,1.0,0.75,0.8,1,0.89,0.33,21435401.0,4.0,35.0,4.0,5358875.0,16076526.0,19.0,16.0,90.0,0.36,56.25
user0025,1,0,1,0.09,,0.67,0.3,1,1,0,831461018.0,125.0,1953.0,125.0,85104280.0,746356738.0,720.0,1233.0,69.0,,
user0059,1,0,1,0.09,0.36,0.75,0.6,0.53,0.83,0,3035050848.0,441.0,9550.0,441.0,346324987.0,2688725861.0,2800.0,6750.0,66.0,0.27,300.00000000000006
user0070,1,0,1,0.27,0.91,0.5,0.7,0.93,1,0.56,7762843899.0,997.0,29790.0,997.0,373179168.0,7389664731.0,7177.0,22613.0,60.0,0.64,237.037037037037
user0004,1,0,1,0.0,0.73,0.42,0.4,0.47,0.44,0.67,227620530.0,35.0,837.0,35.0,46476730.0,181143800.0,380.0,457.0,90.0,0.73,0.0
user0051,1,0,1,0.09,0.64,0.58,0.25,0.6,0.72,0.94,78267446.0,11.0,415.0,11.0,64036550.0,14230896.0,326.0,89.0,91.0,0.55,611.1111111111112
user0060,1,0,1,0.18,0.91,0.5,0.6,0.67,0.56,0.67,32762783.0,5.0,123.0,5.0,19659967.0,13102816.0,92.0,31.0,95.0,0.73,405.55555555555554
user0067,1,0,1,0.45,0.45,0.58,0.55,0.93,0.72,0.83,1263048824.0,176.0,1392.0,176.0,143529818.0,1119519006.0,575.0,817.0,95.0,0.0,0.0
user0056,1,0,0,0.0,0.73,0.58,0.55,0.47,0.72,0.78,630615638.0,116.0,2469.0,116.0,154243083.0,476372555.0,1130.0,1339.0,77.0,0.73,0.0
user0079,1,0,1,0.18,0.64,0.33,0.3,0.33,0.67,0.67,1961883843.0,294.0,1541.0,294.0,126784687.0,1835099156.0,563.0,978.0,88.0,0.46,255.55555555555557
user0082,1,0,1,0.27,0.64,0.5,0.65,0.47,0.67,0.67,43055077.0,6.0,405.0,6.0,43055077.0,0.0,405.0,0.0,53.0,0.37,137.037037037037
user0027,1,0,1,0.27,0.64,0.58,0.65,0.67,0.78,0.67,540490430.0,81.0,203.0,81.0,0.0,540490430.0,0.0,203.0,94.0,0.37,137.037037037037
user0077,1,0,1,0.09,0.64,0.25,0.45,0.6,0.78,0.89,591277125.0,83.0,9507.0,83.0,341984481.0,249292644.0,6513.0,2994.0,70.0,0.55,611.1111111111112
user0024, ,1,1,,,1,0.65,0.87,1,0.67,1420354776.0,185.0,1706.0,185.0,108078553.0,1312276223.0,641.0,1065.0,0.0,,0.0
